ip_from	ip_to,CONVERTED
41.191.232.0 41.191.239.255,
197.221.228.0 197.221.228.255,
41.60.71.0 41.60.71.255,
196.29.32.0 196.29.37.255,
41.57.124.0 41.57.124.255,
197.211.242.0 197.211.242.255,
41.60.68.0 41.60.70.255,
41.60.111.0 41.60.111.255,
196.27.96.0 196.27.96.255,
41.220.27.0 41.220.27.255,
196.43.124.0 196.43.124.255,
169.239.24.0 169.239.27.255,
41.190.32.0 41.190.34.255,
41.190.35.0 41.190.35.255,
102.177.72.0 102.177.75.255,
41.60.76.0 41.60.80.255,
46.17.232.0 46.17.236.255,
197.221.225.0 197.221.225.255,
154.119.90.0 154.119.90.255,
102.177.121.0 102.177.121.255,
196.43.99.0 196.43.107.255,
41.60.214.0 41.60.214.255,
41.220.25.0 41.220.25.255,
196.44.176.0 196.44.191.255,
77.246.55.0 77.246.55.255,
197.221.253.0 197.221.253.255,
41.60.32.0 41.60.32.255,
197.155.239.0 197.155.239.255,
197.155.238.0 197.155.238.255,
197.155.229.0 197.155.231.255,
197.211.254.0 197.211.254.255,
41.60.72.0 41.60.73.255,
41.60.63.0 41.60.63.255,
196.201.22.0 196.201.22.255,
196.27.101.0 196.27.101.255,
41.220.21.0 41.220.21.255,
41.79.28.0 41.79.31.255,
217.74.235.0 217.74.239.255,
102.177.192.0 102.177.255.255,
154.120.224.0 154.120.226.255,
154.120.232.0 154.120.233.255,
196.201.23.0 196.201.23.255,
197.221.233.0 197.221.239.255,
196.201.16.0 196.201.21.255,
196.11.59.0 196.11.59.255,
188.164.1.0 188.164.1.255,
41.60.47.0 41.60.47.255,
41.60.35.0 41.60.35.255,
41.60.48.0 41.60.62.255,
46.17.238.0 46.17.238.255,
154.120.208.0 154.120.209.255,
154.120.229.0 154.120.229.255,
196.201.146.0 196.201.147.255,
102.165.112.0 102.165.115.255,
102.128.76.0 102.128.79.255,
196.43.199.0 196.43.199.255,
196.43.125.0 196.43.127.255,
41.190.63.0 41.190.63.255,
41.60.66.0 41.60.67.255,
41.221.148.0 41.221.159.255,
41.220.18.0 41.220.18.255,
64.86.26.0 64.86.27.255,
41.220.16.0 41.220.17.255,
77.246.48.0 77.246.53.255,
196.220.96.0 196.220.127.255,
196.27.108.0 196.27.109.255,
41.60.36.0 41.60.36.255,
41.220.19.0 41.220.20.255,
196.216.224.0 196.216.225.255,
41.60.85.0 41.60.85.255,
197.221.241.0 197.221.241.255,
41.60.84.0 41.60.84.255,
41.79.57.0 41.79.57.255,
41.79.56.0 41.79.56.255,
41.60.117.0 41.60.117.255,
197.221.251.0 197.221.252.255,
41.220.26.0 41.220.26.255,
196.27.102.0 196.27.102.255,
41.220.28.0 41.220.28.255,
41.60.81.0 41.60.81.255,
196.27.110.0 196.27.111.255,
41.60.82.0 41.60.83.255,
154.73.80.0 154.73.83.255,
197.211.192.0 197.211.241.255,
196.201.130.0 196.201.131.255,
41.60.45.0 41.60.46.255,
154.120.231.0 154.120.231.255,
196.27.125.0 196.27.125.255,
41.60.43.0 41.60.44.255,
196.49.46.0 196.49.46.255,
196.201.1.0 196.201.1.255,
77.246.60.0 77.246.61.255,
217.74.231.0 217.74.231.255,
41.220.29.0 41.220.29.255,
41.60.101.0 41.60.109.255,
41.57.125.0 41.57.127.255,
41.60.40.0 41.60.40.255,
197.158.128.0 197.158.191.255,
41.220.30.0 41.220.31.255,
41.216.124.0 41.216.127.255,
41.190.62.0 41.190.62.255,
197.211.243.0 197.211.253.255,
154.120.228.0 154.120.228.255,
154.120.234.0 154.120.234.255,
41.60.100.0 41.60.100.255,
197.221.244.0 197.221.249.255,
197.155.228.0 197.155.228.255,
41.60.86.0 41.60.99.255,
197.221.240.0 197.221.240.255,
154.119.88.0 154.119.88.255,
196.27.103.0 196.27.107.255,
77.246.54.0 77.246.54.255,
197.155.227.0 197.155.227.255,
217.74.224.0 217.74.224.255,
209.88.88.0 209.88.95.255,
57.85.80.0 57.85.95.255,
41.85.192.0 41.85.223.255,
41.78.76.0 41.78.79.255,
41.60.74.0 41.60.75.255,
41.57.64.0 41.57.79.255,
41.60.113.0 41.60.116.255,
41.190.36.0 41.190.61.255,
41.60.41.0 41.60.42.255,
196.4.80.0 196.4.80.255,
196.27.126.0 196.27.127.255,
41.220.22.0 41.220.22.255,
41.60.110.0 41.60.110.255,
217.194.132.0 217.194.132.255,
196.43.98.0 196.43.98.255,
196.43.108.0 196.43.109.255,
196.27.113.0 196.27.122.255,
41.220.24.0 41.220.24.255,
41.221.145.0 41.221.147.255,
41.60.38.0 41.60.39.255,
41.79.58.0 41.79.58.255,
197.155.233.0 197.155.237.255,
154.119.87.0 154.119.87.255,
41.60.64.0 41.60.65.255,
41.79.59.0 41.79.59.255,
154.119.80.0 154.119.85.255,
196.27.98.0 196.27.100.255,
196.41.88.0 196.41.88.255,
197.221.232.0 197.221.232.255,
196.27.112.0 196.27.112.255,
196.27.123.0 196.27.124.255,
168.253.56.0 168.253.63.255,
154.119.86.0 154.119.86.255,
197.221.254.0 197.221.255.255,
154.119.89.0 154.119.89.255,
196.29.38.0 196.29.38.255,
197.211.255.0 197.211.255.255,
197.221.226.0 197.221.226.255,
196.60.44.0 196.60.44.255,
196.43.110.0 196.43.123.255,
41.60.112.0 41.60.112.255,
196.2.66.0 196.2.66.255,
41.60.33.0 41.60.33.255,
154.119.91.0 154.119.95.255,
41.79.188.0 41.79.191.255,
217.15.116.0 217.15.123.255,
197.220.194.0 197.220.194.255,
197.213.225.0 197.213.225.255,
197.220.12.0 197.220.13.255,
197.213.117.0 197.213.120.255,
197.212.109.0 197.212.110.255,
197.212.220.0 197.212.220.255,
197.213.146.0 197.213.152.255,
197.212.53.0 197.212.58.255,
196.201.128.0 196.201.128.255,
197.212.62.0 197.212.62.255,
197.220.15.0 197.220.15.255,
197.213.112.0 197.213.115.255,
196.223.2.0 196.223.2.255,
197.212.69.0 197.212.70.255,
197.212.10.0 197.212.11.255,
197.212.115.0 197.212.115.255,
197.212.121.0 197.212.124.255,
197.212.132.0 197.212.132.255,
197.220.14.0 197.220.14.255,
197.212.203.0 197.212.203.255,
197.220.18.0 197.220.19.255,
197.212.30.0 197.212.30.255,
197.212.156.0 197.212.156.255,
197.213.248.0 197.213.248.255,
197.220.16.0 197.220.16.255,
197.213.145.0 197.213.145.255,
197.212.157.0 197.212.173.255,
197.213.158.0 197.213.158.255,
197.212.74.0 197.212.74.255,
197.212.23.0 197.212.24.255,
197.212.0.0 197.212.4.255,
197.213.153.0 197.213.153.255,
197.212.20.0 197.212.21.255,
197.213.176.0 197.213.188.255,
197.212.6.0 197.212.8.255,
197.220.195.0 197.220.195.255,
197.213.21.0 197.213.84.255,
197.212.79.0 197.212.79.255,
197.212.133.0 197.212.150.255,
197.212.246.0 197.212.246.255,
197.213.116.0 197.213.116.255,
197.213.159.0 197.213.174.255,
197.220.192.0 197.220.192.255,
197.212.71.0 197.212.71.255,
197.212.45.0 197.212.45.255,
197.212.105.0 197.212.105.255,
197.212.180.0 197.212.180.255,
197.213.11.0 197.213.11.255,
197.220.2.0 197.220.8.255,
197.220.199.0 197.220.199.255,
197.212.25.0 197.212.25.255,
197.212.77.0 197.212.78.255,
197.212.106.0 197.212.107.255,
197.212.217.0 197.212.217.255,
197.213.85.0 197.213.85.255,
197.213.154.0 197.213.157.255,
197.220.196.0 197.220.196.255,
197.212.111.0 197.212.114.255,
197.231.247.0 197.231.247.255,
197.231.244.0 197.231.244.255,
197.212.43.0 197.212.44.255,
197.212.75.0 197.212.75.255,
197.212.211.0 197.212.212.255,
197.213.4.0 197.213.4.255,
197.213.108.0 197.213.110.255,
197.213.175.0 197.213.175.255,
197.220.1.0 197.220.1.255,
197.220.17.0 197.220.17.255,
197.220.198.0 197.220.198.255,
155.0.36.0 155.0.255.255,
197.212.60.0 197.212.60.255,
197.212.90.0 197.212.90.255,
155.0.18.0 155.0.19.255,
155.0.33.0 155.0.33.255,
197.212.204.0 197.212.209.255,
197.212.230.0 197.212.230.255,
197.212.198.0 197.212.198.255,
155.0.35.0 155.0.35.255,
